# Temperature_MeV comoving_wavenumber Horizon_mass_solar kappa_QCD gamma_QCD delta_QCD phi_QCD
0.00127441 10.229 1.66015e+11 4.20721 0.377779 4981.01 1384.13
0.00127823 10.2596 1.65024e+11 4.20721 0.377779 4951.28 1375.87
0.00128207 10.2904 1.64039e+11 4.20721 0.377779 4921.73 1367.66
0.00128591 10.3212 1.6306e+11 4.20721 0.377779 4892.35 1359.5
0.00128977 10.3522 1.62086e+11 4.20721 0.377779 4863.15 1351.39
0.00129363 10.3832 1.61119e+11 4.20721 0.377779 4834.12 1343.32
0.00129751 10.4144 1.60157e+11 4.20721 0.377779 4805.27 1335.31
0.0013014 10.4456 1.59201e+11 4.20721 0.377779 4776.59 1327.34
0.0013053 10.4769 1.58251e+11 4.20721 0.377779 4748.08 1319.42
0.00130922 10.5083 1.57306e+11 4.20721 0.377779 4719.74 1311.55
0.00131314 10.5398 1.56367e+11 4.20721 0.377779 4691.56 1303.73
0.00131708 10.5714 1.55434e+11 4.20721 0.377779 4663.56 1295.95
0.00132103 10.6031 1.54506e+11 4.20721 0.377779 4635.73 1288.21
0.00132499 10.6349 1.53583e+11 4.20721 0.377779 4608.06 1280.53
0.00132896 10.6668 1.52667e+11 4.20721 0.377779 4580.55 1272.89
0.00133295 10.6988 1.51755e+11 4.20721 0.377779 4553.21 1265.29
0.00133694 10.7308 1.50849e+11 4.20721 0.377779 4526.04 1257.74
0.00134095 10.763 1.49949e+11 4.20721 0.377779 4499.02 1250.24
0.00134497 10.7953 1.49054e+11 4.20721 0.377779 4472.17 1242.78
0.001349 10.8276 1.48164e+11 4.20721 0.377779 4445.47 1235.37
0.00135305 10.8601 1.4728e+11 4.20721 0.377779 4418.94 1228
0.0013571 10.8927 1.464e+11 4.20721 0.377779 4392.57 1220.67
0.00136117 10.9253 1.45526e+11 4.20721 0.377779 4366.35 1213.39
0.00136525 10.9581 1.44658e+11 4.20721 0.377779 4340.29 1206.15
0.00136935 10.9909 1.43794e+11 4.20721 0.377779 4314.38 1198.95
0.00137345 11.0239 1.42936e+11 4.20721 0.377779 4288.63 1191.8
0.00137757 11.0569 1.42083e+11 4.20721 0.377779 4263.03 1184.69
0.0013817 11.0901 1.41234e+11 4.20721 0.377779 4237.59 1177.62
0.00138584 11.1233 1.40391e+11 4.20721 0.377779 4212.3 1170.59
0.00139 11.1567 1.39553e+11 4.20721 0.377779 4187.15 1163.61
0.00139417 11.1901 1.3872e+11 4.20721 0.377779 4162.16 1156.67
0.00139835 11.2237 1.37892e+11 4.20721 0.377779 4137.32 1149.77
0.00140254 11.2573 1.37069e+11 4.20721 0.377779 4112.63 1142.91
0.00140674 11.2911 1.36251e+11 4.20721 0.377779 4088.08 1136.09
0.00141096 11.3249 1.35437e+11 4.20721 0.377779 4063.68 1129.31
0.00141519 11.3589 1.34629e+11 4.20721 0.377779 4039.42 1122.57
0.00141943 11.3929 1.33825e+11 4.20721 0.377779 4015.31 1115.88
0.00142369 11.4271 1.33026e+11 4.20721 0.377779 3991.35 1109.22
0.00142796 11.4614 1.32232e+11 4.20721 0.377779 3967.53 1102.6
0.00143224 11.4957 1.31443e+11 4.20721 0.377779 3943.85 1096.03
0.00143653 11.5302 1.30658e+11 4.20721 0.377779 3920.31 1089.49
0.00144084 11.5648 1.29878e+11 4.20721 0.377779 3896.91 1082.99
0.00144516 11.5994 1.29103e+11 4.20721 0.377779 3873.65 1076.53
0.00144949 11.6342 1.28332e+11 4.20721 0.377779 3850.53 1070.1
0.00145384 11.6691 1.27566e+11 4.20721 0.377779 3827.55 1063.72
0.0014582 11.7041 1.26805e+11 4.20721 0.377779 3804.7 1057.37
0.00146257 11.7392 1.26048e+11 4.20721 0.377779 3781.99 1051.07
0.00146695 11.7744 1.25296e+11 4.20721 0.377779 3759.42 1044.8
0.00147135 11.8097 1.24548e+11 4.20721 0.377779 3736.98 1038.56
0.00147576 11.8451 1.23804e+11 4.20721 0.377779 3714.68 1032.37
0.00148019 11.8806 1.23065e+11 4.20721 0.377779 3692.51 1026.21
0.00148463 11.9162 1.2233e+11 4.20721 0.377779 3670.47 1020.09
0.00148908 11.9519 1.216e+11 4.20721 0.377779 3648.56 1014
0.00149354 11.9878 1.20874e+11 4.20721 0.377779 3626.78 1007.95
0.00149802 12.0237 1.20153e+11 4.20721 0.377779 3605.14 1001.94
0.00150251 12.0598 1.19436e+11 4.20721 0.377779 3583.62 995.962
0.00150702 12.0959 1.18723e+11 4.20721 0.377779 3562.23 990.021
0.00151153 12.1322 1.18014e+11 4.20721 0.377779 3540.97 984.115
0.00151607 12.1686 1.17309e+11 4.20721 0.377779 3519.83 978.245
0.00152061 12.205 1.16609e+11 4.20721 0.377779 3498.83 972.409
0.00152517 12.2416 1.15913e+11 4.20721 0.377779 3477.94 966.608
0.00152974 12.2783 1.15221e+11 4.20721 0.377779 3457.19 960.842
0.00153433 12.3151 1.14533e+11 4.20721 0.377779 3436.55 955.11
0.00153893 12.3521 1.1385e+11 4.20721 0.377779 3416.04 949.413
0.00154354 12.3891 1.1317e+11 4.20721 0.377779 3395.65 943.749
0.00154817 12.4262 1.12494e+11 4.20721 0.377779 3375.39 938.12
0.00155281 12.4635 1.11823e+11 4.20721 0.377779 3355.24 932.524
0.00155747 12.5009 1.11155e+11 4.20721 0.377779 3335.21 926.961
0.00156214 12.5383 1.10492e+11 4.20721 0.377779 3315.31 921.432
0.00156682 12.5759 1.09832e+11 4.20721 0.377779 3295.52 915.935
0.00157152 12.6136 1.09177e+11 4.20721 0.377779 3275.85 910.472
0.00157623 12.6515 1.08525e+11 4.20721 0.377779 3256.3 905.04
0.00158096 12.6894 1.07877e+11 4.20721 0.377779 3236.87 899.642
0.0015857 12.7274 1.07233e+11 4.20721 0.377779 3217.55 894.276
0.00159045 12.7656 1.06593e+11 4.20721 0.377779 3198.34 888.941
0.00159522 12.8039 1.05957e+11 4.20721 0.377779 3179.25 883.639
0.0016 12.8423 1.05324e+11 4.20721 0.377779 3160.28 878.368
0.0016048 12.8808 1.04695e+11 4.20721 0.377779 3141.42 873.128
0.00160961 12.9194 1.0407e+11 4.20721 0.377779 3122.67 867.92
0.00161444 12.9581 1.03449e+11 4.20721 0.377779 3104.03 862.743
0.00161928 12.997 1.02832e+11 4.20721 0.377779 3085.5 857.597
0.00162413 13.0359 1.02218e+11 4.20721 0.377779 3067.09 852.482
0.001629 13.075 1.01608e+11 4.20721 0.377779 3048.78 847.397
0.00163388 13.1142 1.01001e+11 4.20721 0.377779 3030.59 842.343
0.00163878 13.1535 1.00398e+11 4.20721 0.377779 3012.5 837.318
0.0016437 13.193 9.97989e+10 4.20721 0.377779 2994.52 832.324
0.00164862 13.2325 9.92031e+10 4.20721 0.377779 2976.65 827.359
0.00165357 13.2722 9.86109e+10 4.20721 0.377779 2958.88 822.424
0.00165852 13.312 9.80223e+10 4.20721 0.377779 2941.22 817.519
0.0016635 13.3519 9.74372e+10 4.20721 0.377779 2923.67 812.643
0.00166848 13.3919 9.68555e+10 4.20721 0.377779 2906.22 807.796
0.00167349 13.4321 9.62773e+10 4.20721 0.377779 2888.87 802.978
0.0016785 13.4724 9.57026e+10 4.20721 0.377779 2871.63 798.188
0.00168354 13.5127 9.51313e+10 4.20721 0.377779 2854.49 793.428
0.00168858 13.5533 9.45635e+10 4.20721 0.377779 2837.46 788.695
0.00169365 13.5939 9.3999e+10 4.20721 0.377779 2820.52 783.991
0.00169872 13.6346 9.34378e+10 4.20721 0.377779 2803.69 779.315
0.00170382 13.6755 9.28801e+10 4.20721 0.377779 2786.96 774.667
0.00170893 13.7165 9.23256e+10 4.20721 0.377779 2770.32 770.047
0.00171405 13.7577 9.17745e+10 4.20721 0.377779 2753.79 765.454
0.00171919 13.7989 9.12267e+10 4.20721 0.377779 2737.35 760.889
0.00172434 13.8403 9.06821e+10 4.20721 0.377779 2721.02 756.351
0.00172951 13.8818 9.01408e+10 4.20721 0.377779 2704.78 751.84
0.0017347 13.9234 8.96027e+10 4.20721 0.377779 2688.63 747.355
0.0017399 13.9651 8.90678e+10 4.20721 0.377779 2672.59 742.898
0.00174512 14.007 8.85361e+10 4.20721 0.377779 2656.64 738.467
0.00175035 14.049 8.80076e+10 4.20721 0.377779 2640.78 734.063
0.0017556 14.0911 8.74822e+10 4.20721 0.377779 2625.02 729.685
0.00176086 14.1334 8.696e+10 4.20721 0.377779 2609.35 725.333
0.00176614 14.1757 8.64409e+10 4.20721 0.377779 2593.78 721.008
0.00177143 14.2182 8.59249e+10 4.20721 0.377779 2578.3 716.708
0.00177674 14.2609 8.5412e+10 4.20721 0.377779 2562.91 712.433
0.00178207 14.3036 8.49021e+10 4.20721 0.377779 2547.62 708.184
0.00178741 14.3465 8.43953e+10 4.20721 0.377779 2532.41 703.961
0.00179277 14.3895 8.38915e+10 4.20721 0.377779 2517.3 699.763
0.00179815 14.4327 8.33907e+10 4.20721 0.377779 2502.28 695.589
0.00180354 14.4759 8.28929e+10 4.20721 0.377779 2487.34 691.441
0.00180895 14.5193 8.23981e+10 4.20721 0.377779 2472.5 687.318
0.00181437 14.5629 8.19063e+10 4.20721 0.377779 2457.74 683.219
0.00181981 14.6065 8.14173e+10 4.20721 0.377779 2443.07 679.144
0.00182527 14.6503 8.09313e+10 4.20721 0.377779 2428.49 675.094
0.00183074 14.6942 8.04482e+10 4.20721 0.377779 2414 671.068
0.00183623 14.7383 7.9968e+10 4.20721 0.377779 2399.59 667.066
0.00184173 14.7825 7.94906e+10 4.20721 0.377779 2385.27 663.088
0.00184725 14.8268 7.90161e+10 4.20721 0.377779 2371.04 659.134
0.00185279 14.8713 7.85444e+10 4.20721 0.377779 2356.89 655.203
0.00185835 14.9158 7.80755e+10 4.20721 0.377779 2342.82 651.296
0.00186392 14.9606 7.76095e+10 4.20721 0.377779 2328.84 647.412
0.00186951 15.0054 7.71462e+10 4.20721 0.377779 2314.94 643.551
0.00187511 15.0504 7.66857e+10 4.20721 0.377779 2301.12 639.714
0.00188073 15.0955 7.62279e+10 4.20721 0.377779 2287.39 635.899
0.00188637 15.1408 7.57729e+10 4.20721 0.377779 2273.74 632.107
0.00189203 15.1862 7.53205e+10 4.20721 0.377779 2260.17 628.338
0.0018977 15.2317 7.48709e+10 4.20721 0.377779 2246.68 624.591
0.00190339 15.2774 7.4424e+10 4.20721 0.377779 2233.27 620.866
0.0019091 15.3232 7.39797e+10 4.20721 0.377779 2219.95 617.164
0.00191482 15.3691 7.35381e+10 4.20721 0.377779 2206.7 613.484
0.00192056 15.4152 7.30991e+10 4.20721 0.377779 2193.53 609.826
0.00192632 15.4614 7.26628e+10 4.20721 0.377779 2180.44 606.19
0.0019321 15.5078 7.2229e+10 4.20721 0.377779 2167.42 602.575
0.00193789 15.5543 7.17978e+10 4.20721 0.377779 2154.49 598.982
0.0019437 15.6009 7.13692e+10 4.20721 0.377779 2141.63 595.41
0.00194953 15.6477 7.09432e+10 4.20721 0.377779 2128.85 591.86
0.00195537 15.6946 7.05197e+10 4.20721 0.377779 2116.15 588.331
0.00196123 15.7416 7.00988e+10 4.20721 0.377779 2103.52 584.823
0.00196711 15.7888 6.96803e+10 4.20721 0.377779 2090.96 581.336
0.00197301 15.8362 6.92644e+10 4.20721 0.377779 2078.48 577.869
0.00197893 15.8837 6.88509e+10 4.20721 0.377779 2066.08 574.424
0.00198486 15.9313 6.84399e+10 4.20721 0.377779 2053.75 570.999
0.00199081 15.979 6.80313e+10 4.20721 0.377779 2041.49 567.594
0.00199678 16.027 6.76252e+10 4.20721 0.377779 2029.31 564.21
0.00200277 16.075 6.72215e+10 4.20721 0.377779 2017.2 560.846
0.00200877 16.1232 6.68203e+10 4.20721 0.377779 2005.16 557.502
0.00201479 16.1715 6.64214e+10 4.20721 0.377779 1993.2 554.178
0.00202083 16.22 6.60249e+10 4.20721 0.377779 1981.3 550.874
0.00202689 16.2687 6.56308e+10 4.20721 0.377779 1969.48 547.59
0.00203297 16.3174 6.5239e+10 4.20721 0.377779 1957.72 544.325
0.00203906 16.3664 6.48495e+10 4.20721 0.377779 1946.04 541.079
0.00204518 16.4154 6.44624e+10 4.20721 0.377779 1934.43 537.853
0.00205131 16.4646 6.40776e+10 4.20721 0.377779 1922.88 534.647
0.00205746 16.514 6.36951e+10 4.20721 0.377779 1911.41 531.459
0.00206363 16.5635 6.33149e+10 4.20721 0.377779 1900 528.291
0.00206982 16.6132 6.29369e+10 4.20721 0.377779 1888.66 525.141
